,affix,Derived Word,Source Word
447,ally,filmically,filmic
448,ally,formulaically,formulaic
449,ally,galvanically,galvanic
450,ally,geomagnetically,geomagnetic
451,ally,geometrically,geometric
452,ally,hedonically,hedonic
453,ally,hegemonically,hegemonic
454,ally,heraldically,heraldic
455,ally,heroically,heroic
456,ally,homeopathically,homeopathic
457,ally,homiletically,homiletic
458,ally,honorifically,honorific
459,ally,humoristically,humoristic
460,ally,hygienically,hygienic
462,ally,hyperbolically,hyperbolic
463,ally,hypergolically,hypergolic
464,ally,hypostatically,hypostatic
465,ally,iconically,iconic
466,ally,ideographically,ideographic
467,ally,idiomatically,idiomatic
468,ally,idyllically,idyllic
469,ally,illusionistically,illusionistic
470,ally,impressionistically,impressionistic
471,ally,informationally,information
472,ally,intensionally,intension
473,ally,intrinsically,intrinsic
474,ally,intuitionistically,intuitionistic
475,ally,ionically,ionic
476,ally,ironically,ironic
478,ally,isentropically,isentropic
479,ally,isometrically,isometric
480,ally,isostatically,isostatic
481,ally,isotropically,isotropic
482,ally,journalistically,journalistic
483,ally,juristically,juristic
484,ally,kinesthetically,kinesthetic
486,ally,laparoscopically,laparoscopic
488,ally,lethargically,lethargic
489,ally,lexicographically,lexicographic
491,ally,linguistically,linguistic
492,ally,macaronically,macaronic
493,ally,masonically,masonic
494,ally,melancholically,melancholic
495,ally,metonymically,metonymic
497,ally,mimetically,mimetic
498,ally,monophonically,monophonic
499,ally,morganatically,morganatic
500,ally,morphometrically,morphometric
502,ally,motivically,motivic
503,ally,motorically,motoric
504,ally,narcotically,narcotic
506,ally,nihilistically,nihilistic
507,ally,nomadically,nomadic
508,ally,nondeterministically,nondeterministic
511,ally,onomatopoeically,onomatopoeic
512,ally,pacifically,pacific
514,ally,parabolically,parabolic
515,ally,paradigmatically,paradigmatic
516,ally,paralytically,paralytic
517,ally,pathetically,pathetic
518,ally,pathogenically,pathogenic
520,ally,patriotically,patriotic
521,ally,pelagically,pelagic
522,ally,periodically,periodic
524,ally,pharmacokinetically,pharmacokinetic
525,ally,philatelically,philatelic
526,ally,phonemically,phonemic
528,ally,phonetically,phonetic
529,ally,photographically,photographic
531,ally,plastically,plastic
532,ally,platonically,platonic
533,ally,pluralistically,pluralistic
534,ally,pneumatically,pneumatic
536,ally,poetically,poetic
537,ally,polyphonically,polyphonic
539,ally,pragmatically,pragmatic
540,ally,probabilistically,probabilistic
542,ally,problematically,problematic
543,ally,prognostically,prognostic
544,ally,programmatically,programmatic
545,ally,proleptically,proleptic
546,ally,prosaically,prosaic
547,ally,prosodically,prosodic
548,ally,proteolytically,proteolytic
549,ally,psionically,psionic
550,ally,psychedelically,psychedelic
551,ally,psychiatrically,psychiatric
553,ally,psychodynamically,psychodynamic
554,ally,psychosomatically,psychosomatic
555,ally,psychotically,psychotic
556,ally,quadratically,quadratic
557,ally,radically,radical
558,ally,robotically,robotic
559,ally,sarcastically,sarcastic
560,ally,sardonically,sardonic
561,ally,satirically,satiric
562,ally,schizophrenically,schizophrenic
563,ally,scientifically,scientific
565,ally,semantically,semantic
566,ally,semiotically,semiotic
567,ally,simplistically,simplistic
569,ally,spasmodically,spasmodic
571,ally,specifically,specific
572,ally,spectroscopically,spectroscopic
573,ally,statically,static
574,ally,strategically,strategic
575,ally,syllabically,syllabic
576,ally,symbolically,symbolical
578,ally,symphonically,symphonic
579,ally,symptomatically,symptomatic
580,ally,synaptically,synaptic
581,ally,synchronically,synchronic
582,ally,syncretically,syncretic
583,ally,systematically,systematic
584,ally,systemically,systemic
586,ally,tectonically,tectonic
589,ally,telepathically,telepathic
591,ally,telerobotically,telerobotic
592,ally,terrifically,terrific
593,ally,thematically,thematic
594,ally,theosophically,theosophic
595,ally,trigonometrically,trigonometric
596,ally,ultrasonically,ultrasonic
598,ally,undiplomatically,undiplomatic
599,ally,undramatically,undramatic
600,ally,unenthusiastically,unenthusiastic
601,ally,unironically,unironic
602,ally,virtuosically,virtuosic
603,ally,volcanically,volcanic
604,ship,senatorship,senator
606,ship,viziership,vizier
608,ship,ancestorship,ancestor
610,ship,abbotship,abbot
612,ship,acquaintanceship,acquaintance
614,ship,adminship,admin
615,ship,admiralship,admiral
617,ship,allyship,ally
620,ship,apostleship,apostle
622,ship,apprenticeship,apprentice
624,ship,archdeaconship,archdeacon
625,ship,archonship,archon
626,ship,arhatship,arhat
628,ship,artisanship,artisan
629,ship,assistantship,assistant
631,ship,associateship,associate
633,ship,authorship,author
637,ship,bachelorship,bachelor
639,ship,brothership,brother
641,ship,burghership,burgher
643,ship,canonship,canon
644,ship,cardinalship,cardinal
645,ship,censorship,censor
647,ship,chairmanship,chairman
648,ship,chairpersonship,chairperson
649,ship,championship,champion
651,ship,chancellorship,chancellor
653,ship,chiefship,chief
655,ship,churchmanship,churchman
656,ship,citizenship,citizen
660,ship,clanship,clan
662,ship,clientship,client
663,ship,coadjutorship,coadjutor
664,ship,collectorship,collector
665,ship,colonelship,colonel
667,ship,commandership,commander
668,ship,commissionership,commissioner
669,ship,companionship,companion
673,ship,comptrollership,comptroller
674,ship,conductorship,conductor
676,ship,conservatorship,conservator
679,ship,consortship,consort
680,ship,constableship,constable
681,ship,controllership,controller
682,ship,convenorship,convenor
684,ship,countship,count
686,ship,cousinship,cousin
688,ship,craftsmanship,craftsman
690,ship,creatorship,creator
692,ship,curatorship,curator
694,ship,daughtership,daughter
697,ship,deanship,dean
699,ship,denizenship,denizen
702,ship,deputyship,deputy
704,ship,discipleship,disciple
706,ship,doctorship,doctor
707,ship,dogeship,doge
709,ship,donorship,donor
711,ship,ecopreneurship,ecopreneur
713,ship,editorship,editor
715,ship,eldership,elder
720,ship,emirship,emir
721,ship,emperorship,emperor
722,ship,entrepreneurship,entrepreneur
724,ship,executorship,executor
725,ship,generalship,general
727,ship,godship,god
729,ship,governorship,governor
730,ship,graduateship,graduate
732,ship,grandeeship,grandee
734,ship,guardianship,guardian
736,ship,guruship,guru
737,ship,headmastership,headmaster
739,ship,headship,head
741,ship,heirship,heir
743,ship,inspectorship,inspector
745,ship,instructorship,instructor
746,ship,inventorship,inventor
747,ship,jockeyship,jockey
748,ship,judgeship,judge
749,ship,keepership,keeper
750,ship,kingship,king
753,ship,lairdship,laird
756,ship,landownership,landowner
758,ship,landscape,landschap
759,ship,laureateship,laureate
760,ship,leadership,leader
761,ship,lectorship,lector
762,ship,lecturership,lecturer
764,ship,lectureship,lecture
765,ship,licentiateship,licentiate
767,ship,lordship,lord
771,ship,maintainership,maintainer
772,ship,manship,manship
776,ship,mastership,master
777,ship,mateship,mate
782,ship,mediumship,medium
784,ship,membership,member
789,ship,mentorship,mentor
791,ship,ministership,minister
792,ship,moderatorship,moderator
793,ship,monitorship,monitor
794,ship,neighbourship,neighbour
798,ship,nonpartisanship,nonpartisan
800,ship,noviceship,novice
803,ship,officership,officer
805,ship,oratorship,orator
807,ship,overlordship,overlord
810,ship,ownership,owner
812,ship,partnership,partner
814,ship,patroonship,patroon
818,ship,postmastership,postmaster
819,ship,praetorship,praetor
820,ship,preachership,preacher
821,ship,precentorship,precentor
822,ship,preceptorship,preceptor
824,ship,princeship,prince
825,ship,priorship,prior
826,ship,proconsulship,proconsul
827,ship,proprietorship,proprietor
829,ship,provostship,provost
831,ship,queenship,queen
834,ship,rangership,ranger
836,ship,receivership,receiver
838,ship,recordership,recorder
839,ship,registrarship,registrar
844,ship,rulership,ruler
845,ship,sachemship,sachem
846,ship,salesmanship,salesman
847,ship,scholarship,scholar
849,ship,schoolmastership,schoolmaster
851,ship,scoutmastership,scoutmaster
853,ship,secretaryship,secretary
858,ship,showmanship,showman
859,ship,sizarship,sizar
860,ship,soldiership,soldier
862,ship,sonship,son
865,ship,spectatorship,spectator
868,ship,sponsorship,sponsor
870,ship,sportsmanship,sportsman
871,ship,stadtholdership,stadtholder
872,ship,statesmanship,statesman
874,ship,studentship,student
876,ship,subscribership,subscriber
879,ship,successorship,successor
884,ship,superiorship,superior
886,ship,surveyorship,surveyor
887,ship,survivorship,survivor
889,ship,traineeship,trainee
890,ship,treasurership,treasurer
891,ship,twinship,twin
893,ship,usership,user
896,ship,visitorship,visitor
898,ship,voivodeship,voivode
901,ship,wardenship,warden
903,ship,wardship,ward
905,ship,workmanship,workman
906,ship,writership,writer
907,dom,fishdom,fish
909,dom,boredom,bore
914,dom,chiefdom,chief
915,dom,coupledom,couple
917,dom,earldom,earl
918,dom,fandom,fan
921,dom,fiefdom,fief
922,dom,freedom,freedom
926,dom,hippiedom,hippie
928,dom,hipsterdom,hipster
930,dom,princedom,prince
931,dom,serfdom,serf
933,dom,singledom,single
934,dom,thralldom,thrall
935,dom,treedom,tree
937,dom,vassaldom,vassal
939,ette,towelette,towel
941,ette,lobsterette,lobster
942,ette,bachelorette,bachelor
943,ette,barrette,barrette
944,ette,dragonette,dragon
945,ette,jamborette,jamboree
946,ette,kitchenette,kitchen
947,ette,luncheonette,luncheon
948,ette,pianette,piano
949,ette,ranchette,ranch
950,ette,roomette,room
951,ette,statuette,statuette
952,ette,tankette,tank
953,ette,vanette,van
954,ess,seamstress,seamster
955,ess,actress,actor
956,ess,adulteress,adulterer
957,ess,adventuress,adventure
960,ess,anchoress,anchor
961,ess,canoness,canon
962,ess,electress,elector
963,ess,heiress,heir
964,ess,instructress,instructor
965,ess,laundress,launderer
966,ess,millionairess,millionaire
967,ess,monitress,monitor
968,ess,murderess,murder
969,ess,princess,princesse
970,ess,seductress,seductor
972,ess,supervillainess,supervillain
973,ess,temptress,tempter
974,ess,waitress,waiter
975,al,agricultural,agriculture
977,al,denominational,denomination
978,al,arterial,artery
980,al,antennal,antenna
982,al,abysmal,abysm
983,al,abyssal,abyssalis
984,al,academical,academic
987,al,acquittal,acquit
989,al,acrolectal,acrolect
991,al,actuarial,actuary
994,al,adjectival,adjective
996,al,administrational,administration
997,al,aesthetical,aesthetic
999,al,affirmational,affirmation
1000,al,aggradational,aggradation
1001,al,agitational,agitation
1002,al,algebraical,algebraic
1003,al,alkaloidal,alkaloid
1004,al,alloparental,alloparent
1005,al,alphabetical,alphabetic
1006,al,ambrosial,ambrosia
1007,al,ammoniacal,ammoniac
1009,al,amoebicidal,amoebicide
1010,al,anecdotal,anecdote
1013,al,antiformal,antiform
1015,al,antimonial,antimony
1019,al,apertural,aperture
1020,al,applicational,application
1022,al,aqueductal,aqueduct
1023,al,arachnoidal,arachnoid
1024,al,arboreal,arboreus
1025,al,archaebacterial,archaebacteria
1026,al,archidiaconal,archidiaconus
1027,al,argumental,argument
1029,al,arithmetical,arithmetic
1030,al,arrival,arrive
1031,al,arsenical,arsenicum
1034,al,artisanal,artisan
1035,al,ascensional,ascension
1036,al,asphyxial,asphyxia
1037,al,associational,association
1038,al,astroglial,astroglia
1039,al,aural,oral
1043,al,autorotational,autorotation
1045,al,azimuthal,azimuth
1047,al,baritonal,baritone
1048,al,basal,base
1050,al,basinal,basin
1052,al,betrayal,betray
1053,al,bridal,bride
1054,al,buccal,bucca
1055,al,burghal,burgh
1056,al,byssal,byssus
1057,al,caliphal,caliph
1058,al,carceral,carcer
1059,al,carinal,carina
1060,al,casal,case
1062,al,caudal,cauda
1064,al,causational,causation
1065,al,celebrational,celebration
1066,al,cemental,cement
1067,al,cemeterial,cemetery
1069,al,cepstral,cepstrum
1070,al,chalazal,chalaza
1071,al,chemical,chemic
1074,al,chlamydial,chlamydia
1075,al,chromosomal,chromosome
1076,al,cibarial,cibarium
1077,al,citational,citation
1078,al,civilizational,civilization
1079,al,clinical,clinic
1081,al,cloacal,cloaca
1082,al,coastal,coast
1083,al,coeducational,coeducation
1084,al,colonial,colony
1092,al,combinational,combination
1093,al,comical,comic
1099,proof,bulletproof,bullet
1101,proof,childproof,child
1104,proof,flameproof,flame
1105,proof,foolproof,fool
1106,proof,freezeproof,freeze
1107,proof,frostproof,frost
1108,proof,futureproof,future
1109,proof,greaseproof,grease
1110,proof,heatproof,heat
1111,proof,leakproof,leak
1112,proof,rainproof,rain
1113,proof,rustproof,rust
1114,proof,soundproof,sound
1115,proof,waterproof,water
1116,proof,weatherproof,weather
1117,proof,windproof,wind
1118,ion,updation,update
1119,ion,accredition,accredit
1120,ion,singulation,singulate
1122,ion,actuation,actuate
1125,ion,adenylation,adenylate
1126,ion,adsorption,adsorb
1127,ion,antennation,antennate
1128,ion,arpeggiation,arpeggiate
1130,ion,calibration,calibrate
1131,ion,capacitation,capacitate
1132,ion,carbonation,carbonate
1133,ion,chelation,chelate
1134,ion,commemoration,commemorate
1135,ion,concentration,concentrate
1140,ion,deconfliction,deconflict
1141,ion,disintegration,disintegrate
1142,ion,effectuation,effectuate
1143,ion,effluxion,efflux
1144,ion,expropriation,expropriate
1145,ion,furcation,furcate
1146,ion,hydration,hydrate
1147,ion,indigitation,indigitate
1148,ion,ingression,ingress
1150,ion,innervation,innervate
1151,ion,intermediation,intermediate
1152,ion,pontification,pontificate
1153,ion,prediction,predict
1154,ion,proration,prorate
1155,ion,reciprocation,reciprocate
1156,ion,reflation,reflate
1158,ion,reinvestigation,reinvestigate
1159,ion,remediation,remediate
1160,ion,sophistication,sophisticate
1161,ion,strigulation,strigulate
1162,ion,tabulation,tabulate
1163,ion,tessellation,tessellate
1164,oid,mucoid,mucus
1166,oid,embryoid,embryo
1168,oid,fibrinoid,fibrin
1169,oid,fascistoid,fascist
1170,oid,alkaloid,alkali
1172,oid,amyloid,amyl
1174,oid,bacteroid,bacterium
1175,oid,basaloid,basal
1176,oid,bungaloid,bungalow
1177,oid,cannabinoid,cannabis
1178,oid,centauroid,centaur
1181,oid,cerebroid,cerebrum
1182,oid,ceroid,cereus
1184,oid,chalconoid,chalcone
1185,oid,conoid,cone
1187,oid,crystalloid,crystal
1189,oid,cylindroid,cylinder
1190,oid,diamondoid,diamond
1191,oid,epileptoid,epileptic
1193,oid,felinoid,feline
1194,oid,fungoid,fungus
1198,oid,goblinoid,goblin
1200,oid,granitoid,granite
1201,oid,humanoid,human
1203,oid,insectoid,insect
1205,oid,languoid,langu
1206,oid,lemuroid,lemur
1208,oid,leukemoid,leukemia
1209,oid,lichenoid,lichen
1210,oid,lilioid,lily
1212,oid,liminoid,liminal
1214,oid,livedoid,livedo
1216,oid,mechanoid,mechanical
1217,oid,metalloid,metal
1219,oid,meteoroid,meteor
1220,oid,nautiloid,nautilus
1221,oid,negroid,negro
1225,oid,nutzoid,nuts
1227,oid,organoid,organ
1229,oid,parotoid,parotid
1230,oid,petaloid,petal
1231,oid,planetoid,planet
1232,oid,pygmoid,pygmy
1235,oid,resinoid,resin
1237,oid,roboid,robot
1238,oid,scaraboid,scarab
1239,oid,sepaloid,sepal
1240,oid,setoid,set
1241,oid,sleazoid,sleaze
1242,oid,technoid,techno
1248,oid,zebroid,zebra
1250,oid,zomboid,zombie
1254,some,handsome,hand
1256,some,meddlesome,meddle
1259,some,twosome,twosome
1260,age,linkage,link
1261,age,retainage,retain
1263,age,alienage,alien
1264,age,anchorage,anchor
1268,age,average,avarie
1270,age,blockage,block
1273,age,coverage,cover
1276,age,footage,foot
1278,age,haulage,haul
1279,age,knightage,knight
1282,age,lighterage,lighter
1283,age,lockage,lock
1287,age,orphanage,orphan
1292,age,peonage,peon
1293,age,pumpage,pump
1294,age,pupilage,pupil
1295,age,pwnage,pwn
1296,age,shortage,short
1297,age,shrinkage,shrink
1299,age,slippage,slip
1302,age,soakage,soak
1303,age,spoilage,spoil
1304,age,storage,store
1307,age,tankage,tank
1308,age,towage,tow
1309,age,trackage,track
1310,age,villeinage,villein
1311,age,warpage,warp
1312,le,quizzle,quiz
1313,le,gabble,gab
1314,le,brittle,britel
1315,le,bumble,bungle
1316,le,coggle,cog
1319,le,daggle,dag
1320,le,dibble,dib
1325,le,dingle,dingle
1326,le,dottle,dottel
1330,le,haggle,haggler
1331,le,little,litel
1336,le,puggle,pug
1337,le,puzzle,pusle
1343,le,sniffle,sniff
1346,le,spindle,spindle
1347,le,tool,tool
1353,le,truckle,trokel
1354,le,whiffle,whiff
1357,cide,familicide,family
1359,cide,feticide,fetus
1361,cide,filicide,filius
1363,cide,fratricide,frater
1370,cide,mariticide,maritus
1371,cide,parricide,parricide
1377,cide,regicide,regis
1379,cide,senicide,senex
1380,cide,uxoricide,uxor
1382,ization,equalization,equal
1384,ization,eroticization,erotic
1386,ization,ethnicization,ethnic
1388,ization,exteriorization,exteriorize
1392,ization,genericization,generic
1395,ization,hybridization,hybrid
1398,ization,indigenization,indigenous
1401,ization,kernelization,kernel
1402,ization,mansionization,mansion
1403,ization,neutralization,neutralisation
1405,ization,nixtamalization,nixtamal
1406,ization,nominalization,nominal
1407,ization,orthogonalization,orthogonal
1409,ization,parametrization,parametric
1410,ization,racialization,racialize
1412,ization,sensationalization,sensational
1414,ization,unionization,union
1416,ry,riflery,rifle
1417,ry,mimicry,mimic
1420,ry,baronry,baron
1421,ry,casuistry,casuist
1424,ry,cuckoldry,cuckold
1427,ry,devilry,devil
1429,ry,faggotry,faggot
1431,ry,housewifery,housewife
1433,ry,peasantry,peasant
1435,ry,tanistry,tanist
1436,ry,zealotry,zealot
1439,ful,soulful,soul
1443,ful,armful,arm
1444,ful,artful,art
1446,ful,awful,awe
1449,ful,bagful,bag
1451,ful,basketful,basket
1452,ful,boatful,boat
1454,ful,bowlful,bowl
1455,ful,boxful,box
1456,ful,breathful,breath
1459,ful,careful,careful
1463,ful,contentful,content
1464,ful,cupful,cup
1467,ful,distasteful,distaste
1468,ful,doubtful,doubt
1469,ful,dreadful,dredful
1474,ful,eyeful,eye
1477,ful,faithful,faith
1479,ful,fearful,fear
1481,ful,fitful,fit
1482,ful,flavorful,flavor
1483,ful,frightful,frightful
1486,ful,gameful,game
1487,ful,glassful,glass
1488,ful,grateful,grate
1489,ful,gutful,gut
1492,ful,harmful,harmful
1493,ful,hateful,hate
1495,ful,hatful,hat
1496,ful,headful,head
1498,ful,healthful,health
1503,ful,joyful,joy
1504,ful,lightful,light
1505,ful,lungful,lung
1506,ful,lustful,lustful
1509,ful,mouthful,mouth
1511,ful,painful,pain
1515,ful,peaceful,peace
1516,ful,pitiful,pity
1519,ful,potful,pot
1520,ful,powerful,power
1521,ful,prayerful,prayer
1522,ful,prideful,pride
1524,ful,regretful,regret
1525,ful,remindful,remind
1526,ful,resentful,resent
1528,ful,roomful,room
1529,ful,sackful,sack
1532,ful,screenful,screen
1533,ful,shovelful,shovel
1534,ful,sorrowful,sorweful
1536,ful,spoonful,spoon
1538,ful,tasteful,taste
1539,ful,teaspoonful,teaspoon
1540,ful,trunkful,trunk
1541,ful,useful,use
1542,ful,vengeful,venge
1543,ful,wasteful,waste
1544,ful,wishful,wish
1548,ful,wonderful,wonder
1549,ster,dickster,dick
1551,ster,fraudster,fraud
1553,ster,punster,pun
1555,ster,bumster,bum
1556,ster,chidester,chide
1557,ster,dabster,dab
1559,ster,deemster,demester
1560,ster,doomster,doom
1561,ster,dragster,drag
1562,ster,funster,fun
1566,ster,gigster,gig
1567,ster,hipster,hip
1571,ster,jokester,joke
1575,ster,maltster,malt
1577,ster,oldster,old
1578,ster,pollster,poll
1579,ster,prepster,prep
1581,ster,roadster,road
1585,ster,scenester,scene
1586,ster,seamster,seam
1588,ster,slickster,slick
1589,ster,songster,songster
1591,ster,speedster,speed
1592,ster,spinster,spin
1595,ster,tapster,tap
1597,ster,teamster,team
1601,ster,throwster,throw
1610,ster,youngster,young
1611,ster,zinester,zine
1613,ism,voodooism,voodoo
1614,ism,existentialism,existential
1616,ism,absenteeism,absentee
1621,ism,absolutism,absolute
1628,ism,academicism,academic
1631,ism,accelerationism,acceleration
1632,ism,accommodationism,accommodation
1633,ism,activism,active
1634,ism,actualism,actual
1635,ism,aestheticism,aesthetic
1636,ism,agapism,agape
1637,ism,agriculturalism,agricultural
1638,ism,alienism,alien
1639,ism,amateurism,amateur
1641,ism,anarchism,anarchy
1644,ism,animalism,animal
1645,ism,animism,anima
1648,ism,annihilationism,annihilation
1650,ism,anthropocentrism,anthropocentric
1652,ism,antinomianism,antinomian
1654,ism,apocalypticism,apocalyptic
1656,ism,artificialism,artificial
1658,ism,assimilationism,assimilation
1659,ism,atomism,atom
1661,ism,auteurism,auteur
1662,ism,authoritarianism,authoritarian
1663,ism,bagism,bag
1664,ism,biculturalism,bicultural
1667,ism,bilingualism,bilingual
1669,ism,binarism,binary
